sub_rate,coverage,gc_bin,hp_bin,n_simple,n_const,mean_ff_simple,mean_ff_constrained,within_cell_diff
0.090000,5,GC<20%,HP<=2,0,0,,,
0.090000,5,GC<20%,HP=3,0,0,,,
0.090000,5,GC<20%,HP>=4,0,0,,,
0.090000,5,GC20-40%,HP<=2,0,0,,,
0.090000,5,GC20-40%,HP=3,2,0,0.033333,,
0.090000,5,GC20-40%,HP>=4,1,0,0.033333,,
0.090000,5,GC40-60%,HP<=2,1,278,0.033333,0.012350,0.020983
0.090000,5,GC40-60%,HP=3,92,20,0.030072,0.033333,-0.003261
0.090000,5,GC40-60%,HP>=4,193,0,0.040242,,
0.090000,5,GC60-80%,HP<=2,0,2,,0.033333,
0.090000,5,GC60-80%,HP=3,2,0,0.066667,,
0.090000,5,GC60-80%,HP>=4,11,0,0.066667,,
0.090000,5,GC>=80%,HP<=2,0,0,,,
0.090000,5,GC>=80%,HP=3,0,0,,,
0.090000,5,GC>=80%,HP>=4,0,0,,,
0.090000,3,GC<20%,HP<=2,0,0,,,
0.090000,3,GC<20%,HP=3,0,0,,,
0.090000,3,GC<20%,HP>=4,0,0,,,
0.090000,3,GC20-40%,HP<=2,0,0,,,
0.090000,3,GC20-40%,HP=3,1,0,0.666667,,
0.090000,3,GC20-40%,HP>=4,3,0,0.788889,,
0.090000,3,GC40-60%,HP<=2,0,284,,0.106690,
0.090000,3,GC40-60%,HP=3,93,20,0.220430,0.240000,-0.019570
0.090000,3,GC40-60%,HP>=4,196,0,0.635374,,
0.090000,3,GC60-80%,HP<=2,0,0,,,
0.090000,3,GC60-80%,HP=3,2,0,0.683333,,
0.090000,3,GC60-80%,HP>=4,9,0,0.566667,,
0.090000,3,GC>=80%,HP<=2,0,0,,,
0.090000,3,GC>=80%,HP=3,0,0,,,
0.090000,3,GC>=80%,HP>=4,0,0,,,
0.120000,5,GC<20%,HP<=2,0,0,,,
0.120000,5,GC<20%,HP=3,0,0,,,
0.120000,5,GC<20%,HP>=4,0,0,,,
0.120000,5,GC20-40%,HP<=2,0,0,,,
0.120000,5,GC20-40%,HP=3,2,0,0.066667,,
0.120000,5,GC20-40%,HP>=4,2,0,0.233333,,
0.120000,5,GC40-60%,HP<=2,2,277,0.033333,0.036342,-0.003008
0.120000,5,GC40-60%,HP=3,86,23,0.056202,0.062319,-0.006117
0.120000,5,GC40-60%,HP>=4,207,0,0.083092,,
0.120000,5,GC60-80%,HP<=2,0,0,,,
0.120000,5,GC60-80%,HP=3,0,1,,0.033333,
0.120000,5,GC60-80%,HP>=4,3,0,0.300000,,
0.120000,5,GC>=80%,HP<=2,0,0,,,
0.120000,5,GC>=80%,HP=3,0,0,,,
0.120000,5,GC>=80%,HP>=4,0,0,,,
0.120000,3,GC<20%,HP<=2,0,0,,,
0.120000,3,GC<20%,HP=3,0,0,,,
0.120000,3,GC<20%,HP>=4,0,0,,,
0.120000,3,GC20-40%,HP<=2,0,0,,,
0.120000,3,GC20-40%,HP=3,0,0,,,
0.120000,3,GC20-40%,HP>=4,6,0,0.927778,,
0.120000,3,GC40-60%,HP<=2,1,282,0.133333,0.248463,-0.115130
0.120000,3,GC40-60%,HP=3,90,21,0.335926,0.449206,-0.113280
0.120000,3,GC40-60%,HP>=4,202,0,0.829373,,
0.120000,3,GC60-80%,HP<=2,0,1,,0.933333,
0.120000,3,GC60-80%,HP=3,1,0,0.900000,,
0.120000,3,GC60-80%,HP>=4,5,0,0.853333,,
0.120000,3,GC>=80%,HP<=2,0,0,,,
0.120000,3,GC>=80%,HP=3,0,0,,,
0.120000,3,GC>=80%,HP>=4,0,0,,,
