key,delta,comparison,n_pairs,median_diff,mean_diff,n_better,n_worse,n_tied,statistic,p_value,p_adjusted,significant_at_0.05,direction
sub01_k3_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000067,0,3,27,0.000000,0.102470,0.121826,False,ns
sub01_k3_constrained,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,2,xgb_cal_deployable_vs_uniform,30,0.000000,0.000044,2,4,24,4.500000,0.195668,0.225123,False,ns
sub01_k3_constrained,2,benefit_model_deployable_vs_uniform,30,0.000667,0.000778,1,21,8,3.500000,0.000058,0.000075,True,worse
sub01_k3_constrained,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,3,xgb_cal_deployable_vs_uniform,30,0.000000,0.000111,2,7,21,6.500000,0.040092,0.050469,False,ns
sub01_k3_constrained,3,benefit_model_deployable_vs_uniform,30,0.003333,0.003400,0,30,0,0.000000,0.000002,0.000003,True,worse
sub01_k3_constrained,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_constrained,4,xgb_cal_deployable_vs_uniform,30,0.000000,0.000111,2,7,21,6.500000,0.040092,0.050469,False,ns
sub01_k3_constrained,4,benefit_model_deployable_vs_uniform,30,0.003333,0.003422,0,30,0,0.000000,0.000002,0.000003,True,worse
sub01_k3_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k3_simple,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000044,0,2,28,0.000000,0.179712,0.209013,False,ns
