key,n,n_pos,n_neg,min_class_n,fail_rate,mean_freq,usable_min_class_n_ge_10
sub01_k3_constrained,10000,0,10000,0,0.0,0.0012766666666666668,False
sub01_k3_simple,10000,0,10000,0,0.0,0.012376666666666668,False
sub01_k5_constrained,10000,0,10000,0,0.0,0.0001366666666666667,False
sub01_k5_simple,10000,0,10000,0,0.0,0.0003033333333333333,False
sub05_k5_simple,10000,0,10000,0,0.0,0.005293333333333333,False
sub05_k5_constrained,10000,0,10000,0,0.0,0.00187,False
sub12_k5_constrained,10000,0,10000,0,0.0,0.034126666666666666,False
sub09_k5_constrained,10000,0,10000,0,0.0,0.011846666666666667,False
sub20_k3_constrained,10000,10000,0,0,1.0,0.9139066666666668,False
sub20_k3_simple,10000,10000,0,0,1.0,0.9693633333333335,False
sub09_k5_simple,10000,1,9999,1,0.0001,0.029179999999999994,False
sub18_k3_simple,10000,9999,1,1,0.9999,0.9295666666666668,False
sub15_k5_constrained,10000,2,9998,2,0.0002,0.09063,False
sub18_k3_constrained,10000,9998,2,2,0.9998,0.8091133333333335,False
sub12_k5_simple,10000,3,9997,3,0.0003,0.07342666666666667,False
sub05_k3_constrained,10000,20,9980,20,0.002,0.03744666666666667,True
sub18_k5_constrained,10000,147,9853,147,0.0147,0.21634666666666666,True
sub05_k3_simple,10000,219,9781,219,0.0219,0.18474666666666667,True
sub09_k3_constrained,10000,452,9548,452,0.0452,0.11111000000000001,True
sub12_k3_constrained,10000,474,9526,474,0.0474,0.2674866666666667,True
sub15_k5_simple,10000,544,9456,544,0.0544,0.16576333333333332,True
sub15_k3_simple,10000,8922,1078,1078,0.8922,0.8246066666666666,True
sub18_k5_simple,10000,1130,8870,1130,0.113,0.33824,True
sub20_k5_constrained,10000,1692,8308,1692,0.1692,0.3543266666666666,True
sub15_k3_constrained,10000,6922,3078,3078,0.6922,0.5469,True
sub12_k3_simple,10000,6603,3397,3397,0.6603,0.6823333333333333,True
sub09_k3_simple,10000,6384,3616,3616,0.6384,0.5076533333333335,True
sub20_k5_simple,10000,4716,5284,4716,0.4716,0.49583,True
