key,delta,choice,gain_pp,p,p_adj,direction
sub01_k3_constrained,2,risk,-0.00444444,0.195668,0.218687,ns
sub01_k3_constrained,3,uniform,0,,,ns
sub01_k3_constrained,4,uniform,0,,,ns
sub01_k3_simple,2,risk,0.0977778,7.88733e-05,0.000130312,better
sub01_k3_simple,3,uniform,0,,,ns
sub01_k3_simple,4,uniform,0,,,ns
sub01_k5_constrained,2,uniform,0,,,ns
sub01_k5_constrained,3,uniform,0,,,ns
sub01_k5_constrained,4,uniform,0,,,ns
sub01_k5_simple,2,uniform,0,,,ns
sub01_k5_simple,3,uniform,0,,,ns
sub01_k5_simple,4,uniform,0,,,ns
sub05_k3_constrained,2,risk,0.626667,1.70084e-06,3.6546e-06,better
sub05_k3_constrained,3,risk,0.462222,1.69441e-06,3.6546e-06,better
sub05_k3_constrained,4,risk,0.831111,1.70084e-06,3.6546e-06,better
sub05_k3_simple,2,risk,4.42889,1.72134e-06,3.6546e-06,better
sub05_k3_simple,3,risk,3.55333,1.71593e-06,3.6546e-06,better
sub05_k3_simple,4,risk,6.22444,1.73004e-06,3.6546e-06,better
sub05_k5_constrained,2,risk,0.0311111,0.0831229,0.0957173,ns
sub05_k5_constrained,3,risk,-0.00222222,0.683091,0.701553,ns
sub05_k5_constrained,4,risk,-0.00666667,0.672212,0.701553,ns
sub05_k5_simple,2,risk,0.0622222,0.00072303,0.00105674,better
sub05_k5_simple,3,uniform,0,,,ns
sub05_k5_simple,4,uniform,0,,,ns
sub09_k3_constrained,2,risk,0.377778,1.0824e-05,2.16481e-05,better
sub09_k3_constrained,3,uniform,0,,,ns
sub09_k3_constrained,4,risk,0.473333,2.0199e-05,3.53238e-05,better
sub09_k3_simple,2,benefit,2.72,1.72677e-06,3.6546e-06,better
sub09_k3_simple,3,uniform,0,,,ns
sub09_k3_simple,4,benefit,3.18889,1.73004e-06,3.6546e-06,better
sub09_k5_constrained,2,risk,0.166667,0.000266055,0.000404404,better
sub09_k5_constrained,3,uniform,0,,,ns
sub09_k5_constrained,4,uniform,0,,,ns
sub09_k5_simple,2,risk,0.208889,1.99224e-05,3.53238e-05,better
sub09_k5_simple,3,risk,0.06,0.024035,0.0314941,better
sub09_k5_simple,4,risk,0.124444,0.000255526,0.000404404,better
sub12_k3_constrained,2,uniform,0,,,ns
sub12_k3_constrained,3,uniform,0,,,ns
sub12_k3_constrained,4,uniform,0,,,ns
sub12_k3_simple,2,uniform,0,,,ns
sub12_k3_simple,3,uniform,0,,,ns
sub12_k3_simple,4,uniform,0,,,ns
sub12_k5_constrained,2,risk,-0.0422222,0.360558,0.391462,ns
sub12_k5_constrained,3,uniform,0,,,ns
sub12_k5_constrained,4,uniform,0,,,ns
sub12_k5_simple,2,risk,0.633333,1.69548e-06,3.6546e-06,better
sub12_k5_simple,3,risk,0.166667,0.00160989,0.00218485,better
sub12_k5_simple,4,risk,0.415556,2.04506e-05,3.53238e-05,better
sub15_k3_constrained,2,uniform,0,,,ns
sub15_k3_constrained,3,uniform,0,,,ns
sub15_k3_constrained,4,uniform,0,,,ns
sub15_k3_simple,2,uniform,0,,,ns
sub15_k3_simple,3,uniform,0,,,ns
sub15_k3_simple,4,uniform,0,,,ns
sub15_k5_constrained,2,risk,0.0955556,0.0638242,0.0782361,ns
sub15_k5_constrained,3,uniform,0,,,ns
sub15_k5_constrained,4,uniform,0,,,ns
sub15_k5_simple,2,risk,0.793333,1.7246e-06,3.6546e-06,better
sub15_k5_simple,3,uniform,0,,,ns
sub15_k5_simple,4,risk,0.377778,0.000896624,0.00126192,better
sub18_k3_constrained,2,benefit,1.37778,1.71809e-06,3.6546e-06,better
sub18_k3_constrained,3,uniform,0,,,ns
sub18_k3_constrained,4,benefit,4.68889,1.72351e-06,3.6546e-06,better
sub18_k3_simple,2,benefit,4.60222,1.72786e-06,3.6546e-06,better
sub18_k3_simple,3,uniform,0,,,ns
sub18_k3_simple,4,benefit,9.63556,1.73113e-06,3.6546e-06,better
sub18_k5_constrained,2,risk,0.193333,0.057014,0.0722177,ns
sub18_k5_constrained,3,uniform,0,,,ns
sub18_k5_constrained,4,uniform,0,,,ns
sub18_k5_simple,2,risk,0.113333,0.0728196,0.0864732,ns
sub18_k5_simple,3,uniform,0,,,ns
sub18_k5_simple,4,uniform,0,,,ns
sub20_k3_constrained,2,benefit,1.74889,1.71161e-06,3.6546e-06,better
sub20_k3_constrained,3,uniform,0,,,ns
sub20_k3_constrained,4,benefit,5.60444,1.72134e-06,3.6546e-06,better
sub20_k3_simple,2,benefit,3.08,1.72026e-06,3.6546e-06,better
sub20_k3_simple,3,uniform,0,,,ns
sub20_k3_simple,4,benefit,7.37333,1.73004e-06,3.6546e-06,better
sub20_k5_constrained,2,risk,0.0177778,0.990907,0.990907,ns
sub20_k5_constrained,3,uniform,0,,,ns
sub20_k5_constrained,4,uniform,0,,,ns
sub20_k5_simple,2,uniform,0,,,ns
sub20_k5_simple,3,uniform,0,,,ns
sub20_k5_simple,4,uniform,0,,,ns
