key,delta,model,tf_forced,tf_abstain,abstained,val_gain_pp,gain_forced_pp,gain_abstain_pp,p_forced,p_abstain,p_adj_forced,p_adj_abstain,direction_forced,direction_abstain
sub01_k3_constrained,1,risk,0.05,0,True,-0.00666667,-0.00666667,0,0.10247,,0.121826,,ns,ns
sub01_k3_constrained,2,risk,0.1,0.1,False,0.00444444,-0.00444444,-0.00444444,0.195668,0.195668,0.225123,0.229404,ns,ns
sub01_k3_constrained,2,benefit,0.1,0,True,-0.0444444,-0.0777778,0,5.8038e-05,,7.5268e-05,,worse,ns
sub01_k3_constrained,3,risk,0.05,0,True,-0.0155556,-0.0111111,0,0.0400919,,0.0504686,,ns,ns
sub01_k3_constrained,3,benefit,0.05,0,True,-0.3,-0.34,0,1.66678e-06,,3.0571e-06,,worse,ns
sub01_k3_constrained,4,risk,0.05,0,True,-0.0111111,-0.0111111,0,0.0400919,,0.0504686,,ns,ns
sub01_k3_constrained,4,benefit,0.05,0,True,-0.302222,-0.342222,0,1.66994e-06,,3.0571e-06,,worse,ns
sub01_k3_simple,1,risk,0.05,0,True,-0.00444444,-0.00444444,0,0.179712,,0.209013,,ns,ns
sub01_k3_simple,2,risk,0.3,0.3,False,0.0622222,0.0977778,0.0977778,7.88733e-05,7.88733e-05,0.000125962,0.000148983,better,better
sub01_k3_simple,2,benefit,0.05,0,True,-0.0933333,-0.113333,0,2.57383e-05,,3.50209e-05,,worse,ns
sub01_k3_simple,3,risk,0.05,0,True,-0.00666667,1.73472e-16,0,0.833682,,0.841547,,ns,ns
sub01_k3_simple,3,benefit,0.05,0,True,-0.471111,-0.455556,0,1.69977e-06,,3.0571e-06,,worse,ns
sub01_k3_simple,4,risk,0.05,0,True,-0.00444444,0.00666667,0,0.5813,,0.613441,,ns,ns
sub01_k3_simple,4,benefit,0.05,0,True,-0.473333,-0.475556,0,1.70192e-06,,3.0571e-06,,worse,ns
sub01_k5_constrained,1,risk,0.05,0,True,-0.00222222,0,0,,,,,ns,ns
sub01_k5_constrained,2,risk,0.05,0,True,-0.00222222,0,0,,,,,ns,ns
sub01_k5_constrained,2,benefit,0.05,0,True,0,0,0,,,,,ns,ns
sub01_k5_constrained,3,risk,0.05,0,True,-0.00222222,-0.00222222,0,0.317311,,0.342952,,ns,ns
sub01_k5_constrained,3,benefit,0.05,0,True,-0.00222222,-0.00444444,0,0.157299,,0.167382,,ns,ns
sub01_k5_constrained,4,risk,0.05,0,True,-0.00222222,-0.00222222,0,0.317311,,0.342952,,ns,ns
sub01_k5_constrained,4,benefit,0.05,0,True,0,-0.00222222,0,0.317311,,0.325145,,ns,ns
sub01_k5_simple,1,risk,0.05,0,True,-0.00222222,0,0,,,,,ns,ns
sub01_k5_simple,2,risk,0.2,0,True,0,0,0,,,,,ns,ns
sub01_k5_simple,2,benefit,0.05,0,True,-0.00666667,-0.00444444,0,0.157299,,0.167382,,ns,ns
sub01_k5_simple,3,risk,0.05,0,True,-0.00222222,-0.00222222,0,0.317311,,0.342952,,ns,ns
sub01_k5_simple,3,benefit,0.05,0,True,-0.0244444,-0.0111111,0,0.0587817,,0.066834,,ns,ns
sub01_k5_simple,4,risk,0.05,0,True,-0.00222222,-0.00222222,0,0.317311,,0.342952,,ns,ns
sub01_k5_simple,4,benefit,0.05,0,True,-0.0244444,-0.0111111,0,0.0587817,,0.066834,,ns,ns
sub05_k3_constrained,1,risk,0.05,0,True,-0.0644444,-0.06,0,0.000174708,,0.000270923,,worse,ns
sub05_k3_constrained,2,risk,0.05,0.05,False,0.677778,0.626667,0.626667,1.70084e-06,1.70084e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_constrained,2,benefit,0.1,0,True,-0.0222222,-0.0488889,0,0.212502,,0.223262,,ns,ns
sub05_k3_constrained,3,risk,0.05,0.05,False,0.571111,0.462222,0.462222,1.69441e-06,1.69441e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_constrained,3,benefit,0.05,0,True,-1.97333,-1.93333,0,1.67736e-06,,3.0571e-06,,worse,ns
sub05_k3_constrained,4,risk,0.05,0.05,False,1.01111,0.831111,0.831111,1.70084e-06,1.70084e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_constrained,4,benefit,0.05,0.05,False,0.2,0.302222,0.302222,7.15983e-06,7.15983e-06,1.08048e-05,1.07397e-05,better,better
sub05_k3_simple,1,risk,0.05,0,True,-0.0711111,-0.0511111,0,0.000377944,,0.000553973,,worse,ns
sub05_k3_simple,2,risk,0.3,0.3,False,4.45111,4.42889,4.42889,1.72134e-06,1.72134e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_simple,2,benefit,0.05,0.05,False,0.135556,0.0733333,0.0733333,0.0897761,0.0897761,0.100695,0.107731,ns,ns
sub05_k3_simple,3,risk,0.3,0.3,False,3.50444,3.55333,3.55333,1.71593e-06,1.71593e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_simple,3,benefit,0.05,0,True,-2.00444,-2.03111,0,1.68693e-06,,3.0571e-06,,worse,ns
sub05_k3_simple,4,risk,0.3,0.3,False,6.10444,6.22444,6.22444,1.73004e-06,1.73004e-06,3.70228e-06,4.90177e-06,better,better
sub05_k3_simple,4,benefit,0.05,0,True,-0.471111,-0.52,0,7.60935e-06,,1.12781e-05,,worse,ns
sub05_k5_constrained,1,risk,0.05,0,True,-0.00222222,0,0,,,,,ns,ns
sub05_k5_constrained,2,risk,0.3,0.3,False,0.0511111,0.0311111,0.0311111,0.0831229,0.0831229,0.0999343,0.100935,ns,ns
sub05_k5_constrained,2,benefit,0.05,0,True,-0.0422222,-0.0444444,0,0.00159552,,0.00189183,,worse,ns
sub05_k5_constrained,3,risk,0.05,0.05,False,0.00222222,-0.00222222,-0.00222222,0.683091,0.683091,0.702796,0.703791,ns,ns
sub05_k5_constrained,3,benefit,0.05,0,True,-0.135556,-0.131111,0,1.08788e-05,,1.55679e-05,,worse,ns
sub05_k5_constrained,4,risk,0.2,0.2,False,0.0177778,-0.00666667,-0.00666667,0.672212,0.672212,0.698317,0.703791,ns,ns
sub05_k5_constrained,4,benefit,0.05,0,True,-0.135556,-0.131111,0,7.75672e-06,,1.12949e-05,,worse,ns
sub05_k5_simple,1,risk,0.05,0,True,-0.02,-0.0133333,0,0.0243579,,0.0314012,,worse,ns
sub05_k5_simple,2,risk,0.1,0.1,False,0.0511111,0.0622222,0.0622222,0.00072303,0.00072303,0.00104546,0.00117062,better,better
sub05_k5_simple,2,benefit,0.05,0,True,-0.0666667,-0.0622222,0,0.000601525,,0.000723574,,worse,ns
sub05_k5_simple,3,risk,0.05,0,True,-0.0311111,-0.00888889,0,0.709134,,0.722642,,ns,ns
sub05_k5_simple,3,benefit,0.05,0,True,-0.202222,-0.224444,0,1.67948e-06,,3.0571e-06,,worse,ns
sub05_k5_simple,4,risk,0.05,0,True,-0.0133333,0.0111111,0,0.584775,,0.613441,,ns,ns
sub05_k5_simple,4,benefit,0.05,0,True,-0.2,-0.228889,0,2.44792e-06,,4.06355e-06,,worse,ns
sub09_k3_constrained,1,risk,0.05,0,True,-0.306667,-0.377778,0,1.66256e-06,,3.70228e-06,,worse,ns
sub09_k3_constrained,2,risk,0.05,0.05,False,0.473333,0.377778,0.377778,1.0824e-05,1.0824e-05,2.03188e-05,2.8309e-05,better,better
sub09_k3_constrained,2,benefit,0.05,0.05,False,0.382222,0.36,0.36,2.6699e-05,2.6699e-05,3.57423e-05,3.43273e-05,better,better
sub09_k3_constrained,3,risk,0.05,0,True,-0.353333,-0.431111,0,2.46401e-05,,4.05614e-05,,worse,ns
sub09_k3_constrained,3,benefit,0.05,0,True,-0.608889,-0.488889,0,2.10306e-06,,3.56232e-06,,worse,ns
sub09_k3_constrained,4,risk,0.05,0.05,False,0.526667,0.473333,0.473333,2.0199e-05,2.0199e-05,3.47336e-05,4.34576e-05,better,better
sub09_k3_constrained,4,benefit,0.05,0.05,False,0.48,0.535556,0.535556,4.46574e-06,4.46574e-06,6.864e-06,7.30757e-06,better,better
sub09_k3_simple,1,risk,0.05,0,True,-0.364444,-0.373333,0,1.68374e-06,,3.70228e-06,,worse,ns
sub09_k3_simple,2,risk,0.3,0.3,False,2.61111,2.71556,2.71556,1.72677e-06,1.72677e-06,3.70228e-06,4.90177e-06,better,better
sub09_k3_simple,2,benefit,0.3,0.3,False,2.66,2.72,2.72,1.72677e-06,1.72677e-06,3.0571e-06,3.11603e-06,better,better
sub09_k3_simple,3,risk,0.05,0,True,-0.453333,-0.493333,0,3.68418e-06,,7.30013e-06,,worse,ns
sub09_k3_simple,3,benefit,0.05,0,True,-0.52,-0.606667,0,1.70729e-06,,3.0571e-06,,worse,ns
sub09_k3_simple,4,risk,0.3,0.3,False,3.07556,3.13111,3.13111,1.73004e-06,1.73004e-06,3.70228e-06,4.90177e-06,better,better
