condition,severity,src_rate,tgt_rate,delta,direction,transfer_ece,transfer_brier,transfer_pr_auc,transfer_auroc,indist_ece,indist_brier,indist_pr_auc,indist_auroc,deg_ratio_ece,deg_ratio_brier,auroc_drop,robust_transfer_ece,robust_transfer_auroc,robust_transfer
up_very_low_1pct->5pct,up_very_low,0.01,0.05,0.04,up,0.006600660066006601,0.006600660066006601,0.006600660066006601,0.5,0.0,0.0,0.0,0.5,6600.6600660066015,6600.6600660066015,0.0,False,True,False
up_low_to_mid_5pct->9pct,up_low_to_mid,0.05,0.09,0.039999999999999994,up,0.6120075199043902,0.602177485123796,0.7111761956210332,0.5696696696696696,0.013176632238238457,0.008302425663587678,0.14,0.9551495016611296,46.446429469917994,72.53030734918747,0.38547983199145996,False,False,False
up_mild_9pct->12pct,up_mild,0.09,0.12,0.03,up,0.03269394478115607,0.02075460137248712,0.9987174721189591,0.9967142857142857,0.017611390044490357,0.022751051335310944,0.9952635648244017,0.9931161931161931,1.8564091022096365,0.9122480129203867,-0.003598092598092517,True,True,True
up_moderate_9pct->15pct,up_moderate,0.09,0.15,0.06,up,0.25827030001415247,0.2469689910016512,0.9831055673875884,0.8784289907885413,0.017611390044490357,0.022751051335310944,0.9952635648244017,0.9931161931161931,14.664958266309657,10.855278174259187,0.11468720232765184,False,False,False
up_severe_9pct->20pct,up_severe,0.09,0.2,0.11000000000000001,up,0.4106622077740592,0.3985526712154627,1.0,0.5,0.017611390044490357,0.022751051335310944,0.9952635648244017,0.9931161931161931,23.317989479344533,17.51798918394975,0.49311619311619315,False,False,False
up_moderate_high_12pct->18pct,up_moderate_high,0.12,0.18,0.06,up,0.3468935909886958,0.33853299884093374,1.0,0.5,0.004803080337702225,0.0034861391861500377,0.9996511627906977,0.9992857142857143,72.22314985358925,97.1082853449684,0.49928571428571433,False,False,False
down_very_low_5pct->1pct,down_very_low,0.05,0.01,0.04,down,0.030645977215996635,0.01501946581431503,0.0,0.5,0.013176632238238457,0.008302425663587678,0.14,0.9551495016611296,2.3257822379729403,1.8090455034348065,0.45514950166112955,False,False,False
down_low_to_mid_9pct->5pct,down_low_to_mid,0.09,0.05,0.039999999999999994,down,0.6174649648829253,0.6055538139831892,0.013535760014633254,0.6312292358803987,0.017611390044490357,0.022751051335310944,0.9952635648244017,0.9931161931161931,35.06054680085269,26.61652004816739,0.36188695723579445,False,False,False
down_mild_12pct->9pct,down_mild,0.12,0.09,0.03,down,0.026213045098082297,0.019781224385382528,0.9730463994336462,0.9716331716331715,0.004803080337702225,0.0034861391861500377,0.9996511627906977,0.9992857142857143,5.457548751021416,5.67424974423588,0.0276525426525428,False,True,False
down_moderate_15pct->9pct,down_moderate,0.15,0.09,0.06,down,0.24160480036649826,0.18248941341108682,0.9856891548625676,0.9808269808269808,0.049517338115133765,0.08490799491050616,0.983797728990293,0.8829841077032088,4.879196046539054,2.1492606627141817,-0.09784287312377205,False,True,False
down_moderate_high_18pct->12pct,down_moderate_high,0.18,0.12,0.06,down,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.5,1.0,1.0,1.0,0.5,0.6557377049180327,0.6557377049180327,0.0,True,True,True
down_severe_20pct->9pct,down_severe,0.2,0.09,0.11000000000000001,down,0.6372549019607843,0.6372549019607843,0.6372549019607843,0.5,1.0,1.0,1.0,0.5,0.6372549019607843,0.6372549019607843,0.0,True,True,True
