condition,severity,src_rate,tgt_rate,delta,direction,transfer_ece,transfer_brier,transfer_pr_auc,transfer_auroc,indist_ece,indist_brier,indist_pr_auc,indist_auroc,deg_ratio_ece,deg_ratio_brier,auroc_drop,robust_transfer_ece,robust_transfer_auroc,robust_transfer
up_very_low_1pct->5pct,up_very_low,0.01,0.05,0.04,up,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
up_low_to_mid_5pct->9pct,up_low_to_mid,0.05,0.09,0.039999999999999994,up,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
up_mild_9pct->12pct,up_mild,0.09,0.12,0.03,up,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
up_moderate_9pct->15pct,up_moderate,0.09,0.15,0.06,up,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
up_severe_9pct->20pct,up_severe,0.09,0.2,0.11000000000000001,up,0.1617151716173916,0.1617158481858928,0.1617161716171617,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,161715.1716173916,161715.8481858928,0.0,False,True,False
up_moderate_high_12pct->18pct,up_moderate_high,0.12,0.18,0.06,up,0.023101310231253,0.023102264027413263,0.0231023102310231,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,23101.310231253,23102.264027413265,0.0,False,True,False
down_very_low_5pct->1pct,down_very_low,0.05,0.01,0.04,down,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
down_low_to_mid_9pct->5pct,down_low_to_mid,0.09,0.05,0.039999999999999994,down,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
down_mild_12pct->9pct,down_mild,0.12,0.09,0.03,down,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
down_moderate_15pct->9pct,down_moderate,0.15,0.09,0.06,down,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,9.999997701015673e-07,9.999995402031874e-13,0.0,0.5,0.9999997701015673,9.999995402031875e-07,0.0,True,True,True
down_moderate_high_18pct->12pct,down_moderate_high,0.18,0.12,0.06,down,0.010834624086000142,0.0057248001451218776,0.0,0.5,0.024164434004476654,0.022185550186528007,0.24164095049188217,0.9411196911196911,0.4483706957089474,0.2580418379075501,0.44111969111969107,True,False,False
down_severe_20pct->9pct,down_severe,0.2,0.09,0.11000000000000001,down,0.1872246680657069,0.1150799010175152,0.0,0.5,0.056836286209302374,0.07908274245447054,0.7023082922929178,0.9108147195886228,3.294104533435612,1.455183488151905,0.4108147195886228,False,False,False
