sub_rate,coverage,gc_bin,hp_bin,n_simple,n_const,mean_ff_simple,mean_ff_constrained,within_cell_diff
0.010000,5,GC<20%,HP<=2,0,0,,,
0.010000,5,GC<20%,HP=3,0,0,,,
0.010000,5,GC<20%,HP>=4,0,0,,,
0.010000,5,GC20-40%,HP<=2,0,0,,,
0.010000,5,GC20-40%,HP=3,3,0,0.000000,,
0.010000,5,GC20-40%,HP>=4,14,0,0.000000,,
0.010000,5,GC40-60%,HP<=2,11,1398,0.000000,0.000143,-0.000143
0.010000,5,GC40-60%,HP=3,420,96,0.000397,0.000000,0.000397
0.010000,5,GC40-60%,HP>=4,1010,0,0.000363,,
0.010000,5,GC60-80%,HP<=2,0,5,,0.000000,
0.010000,5,GC60-80%,HP=3,13,1,0.000000,0.000000,0.000000
0.010000,5,GC60-80%,HP>=4,29,0,0.000000,,
0.010000,5,GC>=80%,HP<=2,0,0,,,
0.010000,5,GC>=80%,HP=3,0,0,,,
0.010000,5,GC>=80%,HP>=4,0,0,,,
0.010000,3,GC<20%,HP<=2,0,0,,,
0.010000,3,GC<20%,HP=3,0,0,,,
0.010000,3,GC<20%,HP>=4,0,0,,,
0.010000,3,GC20-40%,HP<=2,0,0,,,
0.010000,3,GC20-40%,HP=3,3,0,0.033333,,
0.010000,3,GC20-40%,HP>=4,14,0,0.016667,,
0.010000,3,GC40-60%,HP<=2,11,1398,0.000000,0.000930,-0.000930
0.010000,3,GC40-60%,HP=3,420,96,0.004048,0.005903,-0.001855
0.010000,3,GC40-60%,HP>=4,1010,0,0.015281,,
0.010000,3,GC60-80%,HP<=2,0,5,,0.026667,
0.010000,3,GC60-80%,HP=3,13,1,0.012821,0.033333,-0.020513
0.010000,3,GC60-80%,HP>=4,29,0,0.011494,,
0.010000,3,GC>=80%,HP<=2,0,0,,,
0.010000,3,GC>=80%,HP=3,0,0,,,
0.010000,3,GC>=80%,HP>=4,0,0,,,
0.050000,5,GC<20%,HP<=2,0,0,,,
0.050000,5,GC<20%,HP=3,0,0,,,
0.050000,5,GC<20%,HP>=4,0,0,,,
0.050000,5,GC20-40%,HP<=2,0,0,,,
0.050000,5,GC20-40%,HP=3,3,0,0.000000,,
0.050000,5,GC20-40%,HP>=4,14,0,0.021429,,
0.050000,5,GC40-60%,HP<=2,11,1398,0.000000,0.001764,-0.001764
0.050000,5,GC40-60%,HP=3,420,96,0.002698,0.003472,-0.000774
0.050000,5,GC40-60%,HP>=4,1010,0,0.005677,,
0.050000,5,GC60-80%,HP<=2,0,5,,0.000000,
0.050000,5,GC60-80%,HP=3,13,1,0.000000,0.000000,0.000000
0.050000,5,GC60-80%,HP>=4,29,0,0.026437,,
0.050000,5,GC>=80%,HP<=2,0,0,,,
0.050000,5,GC>=80%,HP=3,0,0,,,
0.050000,5,GC>=80%,HP>=4,0,0,,,
0.050000,3,GC<20%,HP<=2,0,0,,,
0.050000,3,GC<20%,HP=3,0,0,,,
0.050000,3,GC<20%,HP>=4,0,0,,,
0.050000,3,GC20-40%,HP<=2,0,0,,,
0.050000,3,GC20-40%,HP=3,3,0,0.344444,,
0.050000,3,GC20-40%,HP>=4,14,0,0.407143,,
0.050000,3,GC40-60%,HP<=2,11,1398,0.027273,0.032141,-0.004868
0.050000,3,GC40-60%,HP=3,420,96,0.074206,0.124306,-0.050099
0.050000,3,GC40-60%,HP>=4,1010,0,0.230132,,
0.050000,3,GC60-80%,HP<=2,0,5,,0.246667,
0.050000,3,GC60-80%,HP=3,13,1,0.205128,0.233333,-0.028205
0.050000,3,GC60-80%,HP>=4,29,0,0.183908,,
0.050000,3,GC>=80%,HP<=2,0,0,,,
0.050000,3,GC>=80%,HP=3,0,0,,,
0.050000,3,GC>=80%,HP>=4,0,0,,,
0.090000,5,GC<20%,HP<=2,0,0,,,
0.090000,5,GC<20%,HP=3,0,0,,,
0.090000,5,GC<20%,HP>=4,0,0,,,
0.090000,5,GC20-40%,HP<=2,0,0,,,
0.090000,5,GC20-40%,HP=3,3,0,0.011111,,
0.090000,5,GC20-40%,HP>=4,14,0,0.069048,,
0.090000,5,GC40-60%,HP<=2,11,1398,0.006061,0.010110,-0.004049
0.090000,5,GC40-60%,HP=3,420,96,0.022063,0.026042,-0.003978
0.090000,5,GC40-60%,HP>=4,1010,0,0.030528,,
0.090000,5,GC60-80%,HP<=2,0,5,,0.013333,
0.090000,5,GC60-80%,HP=3,13,1,0.010256,0.033333,-0.023077
0.090000,5,GC60-80%,HP>=4,29,0,0.079310,,
0.090000,5,GC>=80%,HP<=2,0,0,,,
0.090000,5,GC>=80%,HP=3,0,0,,,
0.090000,5,GC>=80%,HP>=4,0,0,,,
0.090000,3,GC<20%,HP<=2,0,0,,,
0.090000,3,GC<20%,HP=3,0,0,,,
0.090000,3,GC<20%,HP>=4,0,0,,,
0.090000,3,GC20-40%,HP<=2,0,0,,,
0.090000,3,GC20-40%,HP=3,3,0,0.822222,,
0.090000,3,GC20-40%,HP>=4,14,0,0.852381,,
0.090000,3,GC40-60%,HP<=2,11,1398,0.069697,0.097282,-0.027585
0.090000,3,GC40-60%,HP=3,420,96,0.208968,0.321181,-0.112212
0.090000,3,GC40-60%,HP>=4,1010,0,0.622607,,
0.090000,3,GC60-80%,HP<=2,0,5,,0.740000,
0.090000,3,GC60-80%,HP=3,13,1,0.669231,0.666667,0.002564
0.090000,3,GC60-80%,HP>=4,29,0,0.574713,,
0.090000,3,GC>=80%,HP<=2,0,0,,,
0.090000,3,GC>=80%,HP=3,0,0,,,
0.090000,3,GC>=80%,HP>=4,0,0,,,
0.120000,5,GC<20%,HP<=2,0,0,,,
0.120000,5,GC<20%,HP=3,0,0,,,
0.120000,5,GC<20%,HP>=4,0,0,,,
0.120000,5,GC20-40%,HP<=2,0,0,,,
0.120000,5,GC20-40%,HP=3,3,0,0.011111,,
0.120000,5,GC20-40%,HP>=4,14,0,0.207143,,
0.120000,5,GC40-60%,HP<=2,11,1398,0.039394,0.030377,0.009017
0.120000,5,GC40-60%,HP=3,420,96,0.055794,0.062500,-0.006706
0.120000,5,GC40-60%,HP>=4,1010,0,0.075182,,
0.120000,5,GC60-80%,HP<=2,0,5,,0.053333,
0.120000,5,GC60-80%,HP=3,13,1,0.056410,0.100000,-0.043590
0.120000,5,GC60-80%,HP>=4,29,0,0.234483,,
0.120000,5,GC>=80%,HP<=2,0,0,,,
0.120000,5,GC>=80%,HP=3,0,0,,,
0.120000,5,GC>=80%,HP>=4,0,0,,,
0.120000,3,GC<20%,HP<=2,0,0,,,
0.120000,3,GC<20%,HP=3,0,0,,,
0.120000,3,GC<20%,HP>=4,0,0,,,
0.120000,3,GC20-40%,HP<=2,0,0,,,
0.120000,3,GC20-40%,HP=3,3,0,0.888889,,
0.120000,3,GC20-40%,HP>=4,14,0,0.964286,,
0.120000,3,GC40-60%,HP<=2,11,1398,0.215152,0.250906,-0.035755
0.120000,3,GC40-60%,HP=3,420,96,0.368413,0.493403,-0.124990
0.120000,3,GC40-60%,HP>=4,1010,0,0.801221,,
0.120000,3,GC60-80%,HP<=2,0,5,,0.893333,
0.120000,3,GC60-80%,HP=3,13,1,0.879487,0.833333,0.046154
0.120000,3,GC60-80%,HP>=4,29,0,0.826437,,
0.120000,3,GC>=80%,HP<=2,0,0,,,
0.120000,3,GC>=80%,HP=3,0,0,,,
0.120000,3,GC>=80%,HP>=4,0,0,,,
0.150000,5,GC<20%,HP<=2,0,0,,,
0.150000,5,GC<20%,HP=3,0,0,,,
0.150000,5,GC<20%,HP>=4,0,0,,,
0.150000,5,GC20-40%,HP<=2,0,0,,,
0.150000,5,GC20-40%,HP=3,3,0,0.055556,,
0.150000,5,GC20-40%,HP>=4,14,0,0.511905,,
0.150000,5,GC40-60%,HP<=2,11,1398,0.078788,0.083476,-0.004689
0.150000,5,GC40-60%,HP=3,420,96,0.123413,0.135417,-0.012004
0.150000,5,GC40-60%,HP>=4,1010,0,0.169769,,
0.150000,5,GC60-80%,HP<=2,0,5,,0.100000,
0.150000,5,GC60-80%,HP=3,13,1,0.130769,0.166667,-0.035897
0.150000,5,GC60-80%,HP>=4,29,0,0.477011,,
0.150000,5,GC>=80%,HP<=2,0,0,,,
0.150000,5,GC>=80%,HP=3,0,0,,,
0.150000,5,GC>=80%,HP>=4,0,0,,,
0.150000,3,GC<20%,HP<=2,0,0,,,
0.150000,3,GC<20%,HP=3,0,0,,,
0.150000,3,GC<20%,HP>=4,0,0,,,
0.150000,3,GC20-40%,HP<=2,0,0,,,
0.150000,3,GC20-40%,HP=3,3,0,0.966667,,
0.150000,3,GC20-40%,HP>=4,14,0,0.990476,,
0.150000,3,GC40-60%,HP<=2,11,1398,0.475758,0.538913,-0.063155
0.150000,3,GC40-60%,HP=3,420,96,0.618492,0.679861,-0.061369
0.150000,3,GC40-60%,HP>=4,1010,0,0.904521,,
0.150000,3,GC60-80%,HP<=2,0,5,,0.966667,
0.150000,3,GC60-80%,HP=3,13,1,0.966667,1.000000,-0.033333
0.150000,3,GC60-80%,HP>=4,29,0,0.935632,,
0.150000,3,GC>=80%,HP<=2,0,0,,,
0.150000,3,GC>=80%,HP=3,0,0,,,
0.150000,3,GC>=80%,HP>=4,0,0,,,
0.180000,5,GC<20%,HP<=2,0,0,,,
0.180000,5,GC<20%,HP=3,0,0,,,
0.180000,5,GC<20%,HP>=4,0,0,,,
0.180000,5,GC20-40%,HP<=2,0,0,,,
0.180000,5,GC20-40%,HP=3,3,0,0.255556,,
0.180000,5,GC20-40%,HP>=4,14,0,0.773810,,
0.180000,5,GC40-60%,HP<=2,11,1398,0.236364,0.205699,0.030665
0.180000,5,GC40-60%,HP=3,420,96,0.275714,0.289583,-0.013869
