sub_rate,coverage,n_simple,n_constrained,gc_lo,gc_hi,hp_max_constrained,frac_simple_out_of_support,mean_ff_simple,mean_ff_constrained,raw_effect,overlap_effect,adjusted_effect,confound_fraction,n_cells_with_both
0.010000,5,300,300,0.400000,0.600000,3,0.693333,0.000000,0.000111,-0.000111,-0.000111,0.000000,-1.000000,2
0.010000,3,300,300,0.400000,0.600000,3,0.693333,0.012556,0.001556,0.011000,0.000981,-0.005121,1.465548,2
0.050000,5,300,300,0.400000,0.600000,3,0.693333,0.006889,0.001444,0.005444,0.000729,-0.003814,1.700500,2
0.050000,3,303,303,0.400000,0.600000,3,0.669967,0.182728,0.040154,0.142574,0.037513,-0.003556,1.024939,2
0.090000,5,301,300,0.400000,0.600000,3,0.697674,0.029347,0.009778,0.019569,0.011468,0.023001,-0.175414,3
0.090000,3,306,306,0.400000,0.600000,3,0.689542,0.500109,0.122876,0.377233,0.075370,-0.190088,1.503900,1
0.120000,5,302,302,0.400000,0.600000,3,0.711921,0.081015,0.035982,0.045033,0.030301,0.007950,0.823459,1
0.120000,3,305,304,0.400000,0.600000,3,0.672131,0.678798,0.272588,0.406210,0.121079,-0.005993,1.014754,1
0.150000,5,303,300,0.400000,0.600000,3,0.716172,0.171617,0.097222,0.074395,0.036111,0.004689,0.936973,2
0.150000,3,304,303,0.400000,0.600000,3,0.684211,0.819737,0.551265,0.268472,0.060888,-0.057481,1.214104,3
0.180000,5,303,303,0.400000,0.600000,3,0.699670,0.338174,0.224642,0.113531,0.056310,0.042691,0.623976,2
0.180000,3,303,302,0.400000,0.600000,3,0.686469,0.924752,0.810044,0.114708,0.029254,0.055783,0.513694,2
0.200000,5,304,303,0.400000,0.600000,3,0.703947,0.493969,0.356986,0.136984,0.064496,-0.080502,1.587677,2
0.200000,3,302,302,0.400000,0.600000,3,0.642384,0.963576,0.911479,0.052097,0.010743,0.010743,0.793785,2
