key,n,auroc_rf,auroc_xgb,diff_rf_minus_xgb,boot_diff_ci_lo,boot_diff_ci_hi,ci_excludes_zero,n_valid_bootstraps
sub05_k3_simple,859,0.927552,0.909478,0.018074,-0.000735,0.038826,False,2000
sub09_k3_constrained,186,1.000000,1.000000,0.000000,-0.000000,0.000000,False,2000
sub09_k3_simple,874,0.974623,0.968766,0.005858,-0.001406,0.015573,False,2000
sub12_k3_simple,605,0.988212,0.985439,0.002773,-0.000181,0.007429,False,2000
sub15_k3_constrained,1429,0.568718,0.571812,-0.003094,-0.018051,0.011628,False,2000
sub15_k3_simple,520,0.607601,0.604519,0.003082,-0.030204,0.038167,False,2000
sub15_k5_simple,658,0.975562,0.975822,-0.000260,-0.006607,0.006119,False,2000
sub18_k5_constrained,1058,0.917041,0.907959,0.009081,-0.009576,0.031563,False,2000
sub18_k5_simple,1390,0.915513,0.911584,0.003929,-0.005716,0.013465,False,2000
sub20_k5_constrained,1464,0.929445,0.927652,0.001793,-0.002658,0.006296,False,2000
sub20_k5_simple,1403,0.736398,0.736721,-0.000323,-0.013008,0.012507,False,2000
