key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,regime_lo,regime_hi
sub01_k5_simple,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.150000,0.850000
sub01_k5_simple,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k5_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k5_simple,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.150000,0.850000
sub01_k5_constrained,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000111,0.000004,0.150000,0.850000
sub01_k5_constrained,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k5_constrained,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000111,0.000004,0.150000,0.850000
sub01_k3_simple,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.012556,0.000700,0.150000,0.850000
sub01_k3_simple,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k3_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k3_simple,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.012556,0.000700,0.150000,0.850000
sub01_k3_constrained,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001556,0.000089,0.150000,0.850000
sub01_k3_constrained,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k3_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub01_k3_constrained,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001556,0.000089,0.150000,0.850000
sub05_k5_simple,xgb_cal,under_failure,299,0.996667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.006355,0.000271,0.150000,0.850000
sub05_k5_simple,xgb_cal,informative,1,0.003333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.166667,0.027778,0.150000,0.850000
sub05_k5_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub05_k5_simple,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.006889,0.000363,0.150000,0.850000
sub05_k5_constrained,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001444,0.000056,0.150000,0.850000
sub05_k5_constrained,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub05_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub05_k5_constrained,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001444,0.000056,0.150000,0.850000
sub05_k3_simple,xgb_cal,under_failure,133,0.438944,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.024870,0.003712,0.150000,0.850000
sub05_k3_simple,xgb_cal,informative,170,0.561056,0.011765,False,0.961310,0.243590,0.000000,0.000000,0.000000,0.988235,0.023208,0.006206,0.150000,0.850000
sub05_k3_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub05_k3_simple,xgb_cal,aggregate,303,1.000000,0.006601,False,0.978405,0.243590,0.000000,0.000000,0.000000,0.993399,0.007709,0.005111,0.150000,0.850000
sub05_k3_constrained,xgb_cal,under_failure,288,0.950495,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001653,0.000874,0.150000,0.850000
sub05_k3_constrained,xgb_cal,informative,15,0.049505,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.068021,0.011740,0.150000,0.850000
sub05_k3_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub05_k3_constrained,xgb_cal,aggregate,303,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.004234,0.001412,0.150000,0.850000
sub09_k5_simple,xgb_cal,under_failure,300,0.996678,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.028556,0.001796,0.150000,0.850000
sub09_k5_simple,xgb_cal,informative,1,0.003322,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.266667,0.071111,0.150000,0.850000
sub09_k5_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub09_k5_simple,xgb_cal,aggregate,301,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.029347,0.002027,0.150000,0.850000
sub09_k5_constrained,xgb_cal,under_failure,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.009778,0.000452,0.150000,0.850000
sub09_k5_constrained,xgb_cal,informative,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub09_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub09_k5_constrained,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.009778,0.000452,0.150000,0.850000
sub09_k3_simple,xgb_cal,under_failure,96,0.313725,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.028573,0.002612,0.150000,0.850000
sub09_k3_simple,xgb_cal,informative,182,0.594771,0.917582,False,0.963273,0.996316,0.979228,0.970588,0.988024,0.961538,0.025317,0.007439,0.150000,0.850000
sub09_k3_simple,xgb_cal,saturated,28,0.091503,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.085334,0.010930,0.150000,0.850000
sub09_k3_simple,xgb_cal,aggregate,306,1.000000,0.637255,False,0.995703,0.997311,0.982188,0.974747,0.989744,0.977124,0.010308,0.006244,0.150000,0.850000
sub09_k3_constrained,xgb_cal,under_failure,264,0.862745,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.008013,0.001759,0.150000,0.850000
sub09_k3_constrained,xgb_cal,informative,37,0.120915,0.324324,False,1.000000,1.000000,0.800000,1.000000,0.666667,0.891892,0.135919,0.028391,0.150000,0.850000
sub09_k3_constrained,xgb_cal,saturated,5,0.016340,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.138688,0.021852,0.150000,0.850000
sub09_k3_constrained,xgb_cal,aggregate,306,1.000000,0.055556,False,1.000000,1.000000,0.866667,1.000000,0.764706,0.986928,0.014836,0.005307,0.150000,0.850000
sub12_k5_simple,xgb_cal,under_failure,266,0.880795,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.061278,0.005251,0.150000,0.850000
sub12_k5_simple,xgb_cal,informative,36,0.119205,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.226852,0.056019,0.150000,0.850000
sub12_k5_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub12_k5_simple,xgb_cal,aggregate,302,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.081015,0.011302,0.150000,0.850000
sub12_k5_constrained,xgb_cal,under_failure,295,0.976821,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.032655,0.002377,0.150000,0.850000
sub12_k5_constrained,xgb_cal,informative,7,0.023179,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.176190,0.031270,0.150000,0.850000
sub12_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub12_k5_constrained,xgb_cal,aggregate,302,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.035982,0.003046,0.150000,0.850000
sub12_k3_simple,xgb_cal,under_failure,15,0.049180,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.105378,0.012582,0.150000,0.850000
sub12_k3_simple,xgb_cal,informative,120,0.393443,0.250000,False,0.992593,0.986667,0.983051,1.000000,0.966667,0.991667,0.043513,0.007740,0.150000,0.850000
sub12_k3_simple,xgb_cal,saturated,170,0.557377,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.019863,0.002542,0.150000,0.850000
sub12_k3_simple,xgb_cal,aggregate,305,1.000000,0.655738,False,0.999000,0.999525,0.997494,1.000000,0.995000,0.996721,0.008999,0.005081,0.150000,0.850000
sub12_k3_constrained,xgb_cal,under_failure,36,0.118421,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.125063,0.016526,0.150000,0.850000
sub12_k3_constrained,xgb_cal,informative,254,0.835526,0.003937,False,0.802372,0.019608,0.000000,0.000000,0.000000,0.996063,0.014356,0.005336,0.150000,0.850000
sub12_k3_constrained,xgb_cal,saturated,14,0.046053,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.076765,0.023447,0.150000,0.850000
sub12_k3_constrained,xgb_cal,aggregate,304,1.000000,0.049342,False,0.987082,0.947418,0.965517,1.000000,0.933333,0.996711,0.008789,0.007495,0.150000,0.850000
sub15_k5_simple,xgb_cal,under_failure,165,0.544554,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.039740,0.003363,0.150000,0.850000
sub15_k5_simple,xgb_cal,informative,138,0.455446,0.123188,False,0.974234,0.816053,0.615385,0.888889,0.470588,0.927536,0.061423,0.008106,0.150000,0.850000
sub15_k5_simple,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub15_k5_simple,xgb_cal,aggregate,303,1.000000,0.056106,False,0.989099,0.816053,0.615385,0.888889,0.470588,0.966997,0.008471,0.005523,0.150000,0.850000
sub15_k5_constrained,xgb_cal,under_failure,231,0.770000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.067532,0.006041,0.150000,0.850000
sub15_k5_constrained,xgb_cal,informative,69,0.230000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.196618,0.040113,0.150000,0.850000
sub15_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub15_k5_constrained,xgb_cal,aggregate,300,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.097222,0.013878,0.150000,0.850000
sub15_k3_simple,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub15_k3_simple,xgb_cal,informative,108,0.355263,0.657407,False,0.614008,0.770708,0.666667,0.657534,0.676056,0.555556,0.032661,0.009867,0.150000,0.850000
sub15_k3_simple,xgb_cal,saturated,196,0.644737,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.006519,0.000932,0.150000,0.850000
sub15_k3_simple,xgb_cal,aggregate,304,1.000000,0.878289,False,0.897358,0.985929,0.910448,0.907063,0.913858,0.842105,0.013514,0.004106,0.150000,0.850000
sub15_k3_constrained,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub15_k3_constrained,xgb_cal,informative,287,0.947195,0.662021,False,0.568095,0.696122,0.704370,0.688442,0.721053,0.599303,0.015337,0.010498,0.150000,0.850000
sub15_k3_constrained,xgb_cal,saturated,16,0.052805,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.077997,0.012066,0.150000,0.850000
sub15_k3_constrained,xgb_cal,aggregate,303,1.000000,0.679868,False,0.601391,0.767767,0.726841,0.711628,0.742718,0.620462,0.015810,0.010581,0.150000,0.850000
sub18_k5_simple,xgb_cal,under_failure,19,0.062706,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.146173,0.024629,0.150000,0.850000
sub18_k5_simple,xgb_cal,informative,272,0.897690,0.084559,False,0.875153,0.667757,0.648649,0.857143,0.521739,0.952206,0.026192,0.009163,0.150000,0.850000
sub18_k5_simple,xgb_cal,saturated,12,0.039604,1.000000,True,,,0.956522,1.000000,0.916667,0.916667,0.176557,0.049510,0.150000,0.850000
sub18_k5_simple,xgb_cal,aggregate,303,1.000000,0.115512,False,0.921109,0.809072,0.766667,0.920000,0.657143,0.953795,0.023520,0.011731,0.150000,0.850000
sub18_k5_constrained,xgb_cal,under_failure,81,0.267327,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.080707,0.007775,0.150000,0.850000
sub18_k5_constrained,xgb_cal,informative,222,0.732673,0.031532,False,0.952159,0.490188,0.000000,0.000000,0.000000,0.968468,0.025125,0.005245,0.150000,0.850000
sub18_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub18_k5_constrained,xgb_cal,aggregate,303,1.000000,0.023102,False,0.965251,0.490188,0.000000,0.000000,0.000000,0.976898,0.007615,0.005921,0.150000,0.850000
sub18_k3_simple,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub18_k3_simple,xgb_cal,informative,77,0.254125,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.759740,0.580620,0.150000,0.850000
sub18_k3_simple,xgb_cal,saturated,226,0.745875,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.980973,0.963810,0.150000,0.850000
sub18_k3_simple,xgb_cal,aggregate,303,1.000000,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.924752,0.866432,0.150000,0.850000
sub18_k3_constrained,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub18_k3_constrained,xgb_cal,informative,208,0.688742,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.767628,0.592767,0.150000,0.850000
sub18_k3_constrained,xgb_cal,saturated,94,0.311258,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.903901,0.819161,0.150000,0.850000
sub18_k3_constrained,xgb_cal,aggregate,302,1.000000,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.810044,0.663234,0.150000,0.850000
sub20_k5_simple,xgb_cal,under_failure,2,0.006579,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.145650,0.021717,0.150000,0.850000
sub20_k5_simple,xgb_cal,informative,281,0.924342,0.387900,False,0.711169,0.573746,0.490000,0.538462,0.449541,0.637011,0.028221,0.010076,0.150000,0.850000
sub20_k5_simple,xgb_cal,saturated,21,0.069079,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.109157,0.022588,0.150000,0.850000
sub20_k5_simple,xgb_cal,aggregate,304,1.000000,0.427632,False,0.759063,0.711739,0.578512,0.625000,0.538462,0.664474,0.024651,0.011017,0.150000,0.850000
sub20_k5_constrained,xgb_cal,under_failure,12,0.039604,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.197916,0.041741,0.150000,0.850000
