key,delta,status,n,mean_failure_freq,spearman_risk_vs_marginal_benefit,p_marginal_benefit,spearman_risk_vs_label,p_label,elapsed_sec
sub01_k3_constrained,2,ok,300,0.001556,,,,,492.500000
sub01_k3_simple,2,ok,300,0.012556,,,,,496.100000
sub01_k5_constrained,2,ok,300,0.000111,,,,,501.300000
sub01_k5_simple,2,ok,300,0.000000,,,,,501.700000
sub05_k5_simple,2,ok,300,0.006889,,,,,612.900000
sub05_k5_constrained,2,ok,300,0.001444,,,,,615.400000
sub05_k3_simple,2,ok,303,0.182728,-0.071015,0.217726,0.841033,0.000000,615.900000
sub05_k3_constrained,2,ok,303,0.040154,0.074835,0.193918,0.247424,0.000013,616.800000
sub09_k5_simple,2,ok,301,0.029347,,,,,531.200000
sub09_k3_simple,2,ok,306,0.500109,0.246816,0.000013,0.853695,0.000000,525.900000
sub09_k5_constrained,2,ok,300,0.009778,,,,,533.700000
sub09_k3_constrained,2,ok,306,0.122876,0.109850,0.054916,0.206162,0.000283,543.100000
sub12_k5_simple,2,ok,302,0.081015,,,,,485.200000
sub12_k5_constrained,2,ok,302,0.035982,,,,,488.400000
sub12_k3_simple,2,ok,305,0.678798,0.160202,0.005040,0.827284,0.000000,487.200000
sub12_k3_constrained,2,ok,304,0.272588,0.014932,0.795407,0.175728,0.002103,479.400000
sub15_k5_simple,2,ok,303,0.171617,0.042687,0.459114,0.463096,0.000000,497.200000
sub15_k3_simple,2,ok,304,0.819737,0.043130,0.453708,0.799853,0.000000,487.600000
sub15_k5_constrained,2,ok,300,0.097222,,,,,492.400000
sub15_k3_constrained,2,ok,303,0.551265,0.031137,0.589268,0.277372,0.000001,505.600000
sub18_k5_constrained,2,ok,303,0.224642,0.085846,0.135993,0.576424,0.000000,501.100000
sub18_k3_simple,2,ok,303,0.924752,,,,,498.400000
sub18_k3_constrained,2,ok,302,0.810044,,,,,489.500000
sub18_k5_simple,2,ok,303,0.338174,0.145991,0.010947,0.483552,0.000000,519.000000
sub20_k5_simple,2,ok,304,0.493969,0.122565,0.032659,0.588932,0.000000,899.500000
sub20_k5_constrained,2,ok,303,0.356986,0.086842,0.131492,0.621693,0.000000,908.200000
sub20_k3_constrained,2,ok,302,0.911479,,,,,923.200000
sub20_k3_simple,2,ok,302,0.963576,,,,,926.900000
