key,delta,status,n,mean_failure_freq,spearman_risk_vs_marginal_benefit,p_marginal_benefit,spearman_risk_vs_label,p_label,elapsed_sec
sub01_k5_simple,2,ok,1500,0.000356,,,,,132.800000
sub01_k5_constrained,4,ok,1500,0.000133,,,,,132.900000
sub01_k5_simple,4,ok,1500,0.000356,,,,,136.600000
sub01_k5_constrained,2,ok,1500,0.000133,,,,,139.000000
sub01_k3_simple,2,ok,1500,0.011978,-0.179232,0.000000,0.344517,0.000000,111.000000
sub01_k3_simple,4,ok,1500,0.011978,-0.522814,0.000000,0.344517,0.000000,113.200000
sub01_k3_constrained,2,ok,1500,0.001356,-0.071067,0.005894,0.178108,0.000000,112.500000
sub01_k3_constrained,4,ok,1500,0.001356,-0.164236,0.000000,0.178108,0.000000,113.500000
sub05_k5_simple,2,ok,1500,0.005289,-0.051988,0.044098,0.224913,0.000000,147.000000
sub05_k5_simple,4,ok,1500,0.005289,-0.124319,0.000001,0.224913,0.000000,148.400000
sub05_k5_constrained,2,ok,1500,0.001867,-0.132698,0.000000,0.192413,0.000000,153.100000
sub05_k5_constrained,4,ok,1500,0.001867,-0.331453,0.000000,0.192413,0.000000,152.900000
sub05_k3_simple,2,ok,1500,0.185756,-0.258793,0.000000,0.849165,0.000000,214.500000
sub05_k3_constrained,2,ok,1500,0.038889,-0.036491,0.157773,0.152804,0.000000,203.800000
sub05_k3_simple,4,ok,1500,0.185756,-0.412748,0.000000,0.849165,0.000000,213.900000
sub05_k3_constrained,4,ok,1500,0.038889,-0.080450,0.001819,0.152804,0.000000,212.800000
sub09_k5_simple,2,ok,1500,0.029067,-0.109861,0.000020,0.302340,0.000000,243.700000
sub09_k5_simple,4,ok,1500,0.029067,-0.229071,0.000000,0.302340,0.000000,251.500000
sub09_k5_constrained,2,ok,1500,0.011156,-0.029232,0.257865,0.379113,0.000000,249.700000
sub09_k5_constrained,4,ok,1500,0.011156,-0.196892,0.000000,0.379113,0.000000,243.800000
sub09_k3_constrained,2,ok,1500,0.114133,0.013126,0.611478,0.197218,0.000000,242.200000
sub09_k3_constrained,4,ok,1500,0.114133,0.102149,0.000074,0.197218,0.000000,240.500000
sub09_k3_simple,2,ok,1500,0.504756,0.430593,0.000000,0.882580,0.000000,259.800000
sub09_k3_simple,4,ok,1500,0.504756,0.757216,0.000000,0.882580,0.000000,260.300000
sub12_k5_simple,4,ok,1500,0.073511,-0.249741,0.000000,0.392987,0.000000,254.900000
sub12_k5_simple,2,ok,1500,0.073511,-0.092789,0.000320,0.392987,0.000000,258.800000
sub12_k5_constrained,2,ok,1500,0.032556,-0.129779,0.000000,0.419634,0.000000,250.800000
sub12_k5_constrained,4,ok,1500,0.032556,-0.278190,0.000000,0.419634,0.000000,250.600000
sub12_k3_simple,2,ok,1500,0.678600,0.406436,0.000000,0.858714,0.000000,247.200000
sub12_k3_constrained,2,ok,1500,0.268956,0.061552,0.017117,0.225850,0.000000,247.900000
sub12_k3_constrained,4,ok,1500,0.268956,0.137569,0.000000,0.225850,0.000000,245.500000
sub12_k3_simple,4,ok,1500,0.678600,0.614274,0.000000,0.858714,0.000000,264.500000
sub15_k5_simple,2,ok,1500,0.164689,-0.023284,0.367509,0.481054,0.000000,247.900000
sub15_k5_simple,4,ok,1500,0.164689,0.020606,0.425176,0.481054,0.000000,253.900000
sub15_k5_constrained,2,ok,1500,0.086911,-0.139851,0.000000,0.454387,0.000000,253.700000
sub15_k5_constrained,4,ok,1500,0.086911,-0.281259,0.000000,0.454387,0.000000,254.100000
sub15_k3_simple,2,ok,1500,0.823356,0.063411,0.014036,0.823992,0.000000,238.200000
sub15_k3_simple,4,ok,1500,0.823356,0.223647,0.000000,0.823992,0.000000,254.000000
sub15_k3_constrained,2,ok,1500,0.549667,0.061480,0.017247,0.255414,0.000000,248.200000
sub15_k3_constrained,4,ok,1500,0.549667,0.163338,0.000000,0.255414,0.000000,240.800000
sub18_k5_simple,2,ok,1500,0.336244,0.188524,0.000000,0.587219,0.000000,252.300000
sub18_k5_constrained,4,ok,1500,0.211444,0.143267,0.000000,0.564555,0.000000,249.500000
sub18_k5_constrained,2,ok,1500,0.211444,0.015814,0.540546,0.564555,0.000000,253.100000
sub18_k5_simple,4,ok,1500,0.336244,0.307986,0.000000,0.587219,0.000000,254.100000
sub18_k3_simple,2,ok,1500,0.929356,-0.333279,0.000000,0.797051,0.000000,249.300000
sub18_k3_simple,4,ok,1500,0.929356,-0.603535,0.000000,0.797051,0.000000,247.700000
sub18_k3_constrained,2,ok,1500,0.811022,-0.028028,0.277991,0.346902,0.000000,250.400000
sub18_k3_constrained,4,ok,1500,0.811022,-0.054006,0.036490,0.346902,0.000000,250.700000
sub20_k5_simple,2,ok,1500,0.494089,0.176882,0.000000,0.613714,0.000000,213.300000
sub20_k5_constrained,2,ok,1500,0.350000,0.137271,0.000000,0.632726,0.000000,192.400000
sub20_k5_simple,4,ok,1500,0.494089,0.366918,0.000000,0.613714,0.000000,198.600000
sub20_k5_constrained,4,ok,1500,0.350000,0.332274,0.000000,0.632726,0.000000,197.300000
sub20_k3_simple,2,ok,1500,0.969756,-0.348236,0.000000,0.759297,0.000000,111.600000
sub20_k3_simple,4,ok,1500,0.969756,-0.679857,0.000000,0.759297,0.000000,112.600000
sub20_k3_constrained,2,ok,1500,0.912844,-0.103550,0.000059,0.280501,0.000000,114.800000
sub20_k3_constrained,4,ok,1500,0.912844,-0.175612,0.000000,0.280501,0.000000,115.100000
