feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.787708,1,0.787448,0.049093,0.062345,1.000000,0.000000,True,1.000000
gc_global,0.504296,2,0.504530,0.045292,0.089772,2.000000,0.000000,True,1.000000
rle_std_run_len,0.128369,3,0.128143,0.006040,0.047138,3.055000,0.227980,True,1.000000
at_global,0.104387,4,0.104419,0.008756,0.083851,3.945000,0.227980,True,1.000000
at_skew,0.053168,5,0.053430,0.005209,0.097493,5.000000,0.000000,True,1.000000
dinuc_TT,0.024507,6,0.024350,0.001314,0.053960,6.935000,0.933153,True,1.000000
hp_max_G,0.024019,7,0.023988,0.002312,0.096391,7.400000,1.496663,True,0.945000
gc_win10_mean,0.022568,8,0.022589,0.003342,0.147953,8.690000,2.008457,True,0.770000
freq_A,0.022076,9,0.022155,0.000831,0.037511,8.535000,1.038641,True,0.965000
entropy_windowed_std,0.020301,10,0.020415,0.001439,0.070503,10.360000,1.363965,True,0.520000
entropy_windowed_mean,0.019783,11,0.019981,0.001998,0.100001,10.605000,1.875893,True,
trinuc_ACC,0.018671,12,0.018726,0.001325,0.070768,11.790000,1.151477,True,
freq_T,0.018320,13,0.018111,0.002769,0.152867,12.195000,2.137048,True,
approx_free_energy,0.014816,14,0.014750,0.001080,0.073215,15.255000,1.228810,True,
dinuc_GT,0.014709,15,0.014559,0.001493,0.102570,15.565000,1.576634,True,
hairpin_score,0.014500,16,0.014443,0.001121,0.077621,15.600000,1.315295,True,
hp_max_C,0.014231,17,0.014237,0.001390,0.097628,15.785000,1.526032,True,
inverted_repeat_count,0.012710,18,0.012779,0.001256,0.098258,17.365000,1.269557,True,
gc_win40_std,0.010533,19,0.010557,0.000712,0.067445,19.090000,0.567362,True,
gc_middle_half,0.009492,20,0.009487,0.000529,0.055773,20.625000,1.201822,True,
dinuc_AT,0.008929,21,0.008939,0.000470,0.052587,22.155000,1.523475,True,
dinuc_CC,0.008857,22,0.008853,0.000530,0.059819,22.380000,1.650939,True,
homopolymer_mean_run,0.008657,23,0.008593,0.000768,0.089332,23.615000,2.610895,True,
repeat_fraction,0.008573,24,0.008548,0.000499,0.058338,23.525000,1.816418,True,
gc_win10_std,0.007970,25,0.007935,0.000565,0.071264,25.855000,2.089013,True,
homopolymer_centroid_pos,0.007707,26,0.007786,0.000576,0.073995,26.375000,2.089109,True,
gc_win20_std,0.007682,27,0.007624,0.000751,0.098497,26.955000,2.589010,True,
trinuc_ACT,0.007379,28,0.007455,0.000717,0.096181,27.500000,2.736786,True,
hp_max_T,0.007073,29,0.007121,0.000685,0.096134,28.615000,2.380499,True,
gc_win20_mean,0.006599,30,0.006563,0.000846,0.128948,30.440000,2.491265,True,
dinuc_CT,0.006444,31,0.006420,0.000794,0.123703,30.890000,2.529407,True,
dinuc_GG,0.006373,32,0.006389,0.000722,0.113037,30.945000,2.229793,True,
dinuc_AA,0.005622,33,0.005551,0.000814,0.146541,34.125000,3.489896,False,
hp_max_A,0.005241,34,0.005215,0.000366,0.070197,34.950000,1.928082,True,
homopolymer_fraction,0.005011,35,0.005118,0.001004,0.196156,36.975000,5.362311,False,
trinuc_ATC,0.004852,36,0.004854,0.000492,0.101278,37.635000,3.439735,False,
gc_skew,0.004842,37,0.004838,0.000390,0.080574,37.340000,3.033875,False,
trinuc_AAG,0.004718,38,0.004691,0.000264,0.056191,38.545000,2.260083,True,
dinuc_TG,0.004478,39,0.004440,0.000535,0.120559,40.765000,4.135187,False,
gc_first_quarter,0.004468,40,0.004473,0.000359,0.080161,40.340000,3.213160,False,
trinuc_AGC,0.004446,41,0.004416,0.000295,0.066806,40.930000,2.721231,True,
dinuc_GC,0.004377,42,0.004363,0.000702,0.160959,41.545000,4.636591,False,
gc_win20_max,0.004367,43,0.004402,0.000483,0.109684,41.080000,3.810984,False,
shannon_entropy_global,0.004168,44,0.004181,0.000532,0.127236,42.765000,3.925529,False,
trinuc_AGA,0.004147,45,0.004165,0.000343,0.082464,42.980000,2.951203,True,
gc_win40_mean,0.004024,46,0.004059,0.000368,0.090667,43.800000,2.814249,True,
trinuc_ACG,0.003853,47,0.003810,0.000412,0.108209,45.765000,3.041344,False,
palindrome_count,0.003302,48,0.003319,0.000298,0.089697,48.635000,1.761186,True,
gc_win40_max,0.003221,49,0.003218,0.000324,0.100829,49.295000,1.994486,True,
rle_n_runs,0.002950,50,0.002925,0.000250,0.085466,51.150000,1.964052,True,
dinuc_CG,0.002863,51,0.002916,0.000436,0.149554,51.490000,3.124084,False,
trinuc_ATT,0.002744,52,0.002723,0.000268,0.098308,52.955000,2.337301,True,
dinuc_GA,0.002666,53,0.002651,0.000517,0.195083,54.220000,4.682051,False,
gc_win40_min,0.002480,54,0.002466,0.000534,0.216638,55.940000,4.935220,False,
trinuc_ACA,0.002459,55,0.002504,0.000258,0.103168,55.100000,2.636285,True,
dinuc_TC,0.002416,56,0.002427,0.000283,0.116397,56.035000,3.285388,False,
gc_last_quarter,0.002386,57,0.002384,0.000307,0.128829,56.415000,3.205117,False,
freq_G,0.002309,58,0.002342,0.000327,0.139699,57.010000,3.580489,False,
freq_C,0.002238,59,0.002243,0.000368,0.164048,58.300000,4.363485,False,
rle_mean_run_len,0.002159,60,0.002142,0.000260,0.121607,59.340000,3.323312,False,
trinuc_AAA,0.002009,61,0.001995,0.000160,0.080092,61.215000,2.503752,True,
dinuc_CA,0.001898,62,0.001903,0.000250,0.131336,62.655000,3.695399,False,
trinuc_ATA,0.001866,63,0.001875,0.000226,0.120661,63.180000,3.453636,False,
trinuc_AAC,0.001809,64,0.001811,0.000189,0.104542,64.310000,3.140685,False,
dinuc_AC,0.001804,65,0.001810,0.000129,0.071284,64.220000,2.571303,True,
dinuc_AG,0.001773,66,0.001788,0.000121,0.067637,64.670000,1.918619,True,
trinuc_AAT,0.001685,67,0.001701,0.000212,0.124713,66.260000,3.067963,False,
gc_win10_max,0.001680,68,0.001661,0.000152,0.091602,66.805000,2.485352,True,
gc_win20_min,0.001634,69,0.001629,0.000173,0.106045,67.230000,2.305884,True,
trinuc_AGT,0.001373,70,0.001391,0.000210,0.151156,69.495000,2.151738,True,
trinuc_ATG,0.001156,71,0.001156,0.000176,0.152138,71.250000,0.904157,True,
trinuc_AGG,0.001145,72,0.001144,0.000141,0.123104,71.240000,0.855804,True,
dinuc_TA,0.000274,73,0.000274,0.000041,0.148812,73.000000,0.000000,True,
seq_length,0.000000,74,0.000000,0.000000,,74.000000,0.000000,True,
gc_win10_min,0.000000,75,0.000000,0.000000,,75.000000,0.000000,True,
dist_to_start,0.000000,76,0.000000,0.000000,,76.000000,0.000000,True,
dist_to_end,0.000000,77,0.000000,0.000000,,77.000000,0.000000,True,
gc_constraint_violation,0.000000,78,0.000000,0.000000,,78.000000,0.000000,True,
