feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,0.207854,1,0.207927,0.006661,0.032033,1.000000,0.000000,True,1.000000
at_global,0.045870,2,0.045901,0.001491,0.032493,2.000000,0.000000,True,1.000000
at_skew,0.038574,3,0.038349,0.001639,0.042728,3.000000,0.000000,True,1.000000
homopolymer_max_run,0.028171,4,0.028043,0.002756,0.098281,4.000000,0.000000,True,1.000000
freq_T,0.015697,5,0.015653,0.000479,0.030589,5.000000,0.000000,True,1.000000
dinuc_GT,0.010219,6,0.010253,0.000480,0.046771,6.000000,0.000000,True,1.000000
approx_free_energy,0.008225,7,0.008223,0.000410,0.049822,7.655000,1.017829,True,0.975000
gc_skew,0.007895,8,0.007863,0.000493,0.062673,8.525000,1.403344,True,0.895000
freq_C,0.007622,9,0.007614,0.000408,0.053597,9.545000,1.444983,True,0.740000
gc_win40_std,0.007538,10,0.007497,0.000399,0.053213,9.910000,1.493954,True,0.640000
gc_win20_std,0.007179,11,0.007134,0.000480,0.067237,11.645000,2.046699,True,
dinuc_TT,0.007141,12,0.007148,0.000302,0.042261,11.460000,1.567929,True,
homopolymer_centroid_pos,0.006940,13,0.006901,0.000401,0.058042,12.450000,1.796524,True,
dinuc_TG,0.006447,14,0.006473,0.000503,0.077634,14.545000,2.473454,True,
dinuc_CA,0.006209,15,0.006181,0.000191,0.030898,15.930000,1.394668,True,
gc_last_quarter,0.006190,16,0.006201,0.000428,0.069079,16.010000,2.249422,True,
dinuc_AG,0.006012,17,0.006020,0.000228,0.037875,16.985000,1.557169,True,
entropy_windowed_mean,0.005773,18,0.005790,0.000451,0.077867,18.360000,2.467874,True,
shannon_entropy_global,0.005706,19,0.005730,0.000316,0.055119,18.725000,1.918170,True,
entropy_windowed_std,0.005695,20,0.005692,0.000389,0.068371,19.000000,2.209072,True,
dinuc_AA,0.005599,21,0.005606,0.000217,0.038761,19.655000,1.409246,True,
gc_first_quarter,0.004918,22,0.004904,0.000262,0.053446,22.805000,1.279443,True,
rle_std_run_len,0.004775,23,0.004756,0.000454,0.095536,23.825000,2.608520,True,
dinuc_TA,0.004713,24,0.004720,0.000164,0.034805,23.705000,1.248189,True,
dinuc_CT,0.004462,25,0.004437,0.000303,0.068363,25.695000,2.002992,True,
hairpin_score,0.004377,26,0.004396,0.000352,0.079984,25.955000,2.278810,True,
gc_win10_mean,0.004267,27,0.004255,0.000196,0.046110,26.745000,1.562042,True,
dinuc_GC,0.004060,28,0.004074,0.000237,0.058226,28.440000,2.546841,True,
dinuc_CG,0.003956,29,0.003966,0.000250,0.062953,29.645000,2.617055,True,
trinuc_ACT,0.003810,30,0.003790,0.000332,0.087725,32.075000,4.076687,False,
repeat_fraction,0.003743,31,0.003735,0.000216,0.057696,32.540000,3.142992,False,
gc_win20_min,0.003702,32,0.003702,0.000190,0.051215,32.980000,2.792776,True,
trinuc_AGA,0.003694,33,0.003695,0.000155,0.041936,33.095000,2.585725,True,
dinuc_GA,0.003656,34,0.003625,0.000235,0.064752,34.210000,3.529292,False,
gc_win40_mean,0.003559,35,0.003551,0.000236,0.066507,35.170000,3.423609,False,
trinuc_ACG,0.003541,36,0.003555,0.000285,0.080164,35.200000,3.724245,False,
gc_win20_max,0.003496,37,0.003498,0.000131,0.037541,36.140000,2.453650,True,
freq_G,0.003468,38,0.003452,0.000201,0.058185,36.805000,3.006156,False,
gc_win40_min,0.003419,39,0.003411,0.000260,0.076286,37.245000,3.536237,False,
homopolymer_mean_run,0.003353,40,0.003360,0.000204,0.060823,38.045000,2.915986,True,
dinuc_CC,0.003159,41,0.003145,0.000198,0.063011,40.590000,1.957524,True,
gc_win10_std,0.002934,42,0.002934,0.000203,0.069274,42.820000,2.063395,True,
gc_win20_mean,0.002923,43,0.002918,0.000254,0.086985,42.990000,2.503977,True,
trinuc_ATT,0.002831,44,0.002832,0.000177,0.062510,43.925000,1.899836,True,
trinuc_ACA,0.002679,45,0.002674,0.000118,0.044245,45.505000,1.539472,True,
trinuc_AGT,0.002664,46,0.002642,0.000146,0.055299,45.955000,1.668225,True,
palindrome_count,0.002628,47,0.002616,0.000178,0.067890,46.175000,1.823287,True,
freq_A,0.002604,48,0.002596,0.000169,0.065210,46.595000,1.640419,True,
trinuc_ACC,0.002212,49,0.002208,0.000169,0.076412,49.890000,1.303035,True,
dinuc_AC,0.002177,50,0.002178,0.000115,0.052583,50.010000,1.024646,True,
