threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.023102,1.000000,0.045161,0.023102,0.965251,0.490188,0.061970
0.150000,0.023102,1.000000,0.045161,0.023102,0.965251,0.490188,0.061970
0.200000,0.055118,1.000000,0.104478,0.603960,0.965251,0.490188,0.061970
0.250000,0.080460,1.000000,0.148936,0.735974,0.965251,0.490188,0.061970
0.300000,0.112903,1.000000,0.202899,0.818482,0.965251,0.490188,0.061970
0.350000,0.238095,0.714286,0.357143,0.940594,0.965251,0.490188,0.061970
0.400000,0.666667,0.285714,0.400000,0.980198,0.965251,0.490188,0.061970
0.450000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.500000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.550000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.600000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.650000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.700000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.750000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.800000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.850000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
0.900000,0.000000,0.000000,0.000000,0.976898,0.965251,0.490188,0.061970
