stratum,coverage,encoding,src_rate,tgt_rate,src_key,tgt_key,delta,direction,ece_threshold,auroc_threshold,auroc_indist,auroc_transfer,auroc_drop,ece_indist,ece_transfer,ece_ratio,brier_indist,brier_transfer,n_info_src,n_info_tgt,degenerate_src,degenerate_tgt,is_robust
k5_simple,5,simple,0.010000,0.050000,sub01_k5_simple,sub05_k5_simple,0.040000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.010000,0.090000,sub01_k5_simple,sub09_k5_simple,0.080000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.010000,0.120000,sub01_k5_simple,sub12_k5_simple,0.110000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.050000,0.010000,sub05_k5_simple,sub01_k5_simple,0.040000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.050000,0.090000,sub05_k5_simple,sub09_k5_simple,0.040000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.050000,0.120000,sub05_k5_simple,sub12_k5_simple,0.070000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.050000,0.150000,sub05_k5_simple,sub15_k5_simple,0.100000,up,2.000000,0.050000,,0.500000,,,0.265700,,,0.087907,0,138,True,False,False
k5_simple,5,simple,0.090000,0.010000,sub09_k5_simple,sub01_k5_simple,0.080000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.090000,0.050000,sub09_k5_simple,sub05_k5_simple,0.040000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.090000,0.120000,sub09_k5_simple,sub12_k5_simple,0.030000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.090000,0.150000,sub09_k5_simple,sub15_k5_simple,0.060000,up,2.000000,0.050000,,0.500000,,,0.265700,,,0.087907,0,138,True,False,False
k5_simple,5,simple,0.090000,0.180000,sub09_k5_simple,sub18_k5_simple,0.090000,up,2.000000,0.050000,,0.500000,,,0.329657,,,0.124877,0,272,True,False,False
k5_simple,5,simple,0.090000,0.200000,sub09_k5_simple,sub20_k5_simple,0.110000,up,2.000000,0.050000,,0.500000,,,0.463582,,,0.228074,0,281,True,False,False
k5_simple,5,simple,0.120000,0.010000,sub12_k5_simple,sub01_k5_simple,0.110000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.120000,0.050000,sub12_k5_simple,sub05_k5_simple,0.070000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.120000,0.090000,sub12_k5_simple,sub09_k5_simple,0.030000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_simple,5,simple,0.120000,0.150000,sub12_k5_simple,sub15_k5_simple,0.030000,up,2.000000,0.050000,,0.500000,,,0.265700,,,0.087907,0,138,True,False,False
k5_simple,5,simple,0.120000,0.180000,sub12_k5_simple,sub18_k5_simple,0.060000,up,2.000000,0.050000,,0.500000,,,0.329657,,,0.124877,0,272,True,False,False
k5_simple,5,simple,0.120000,0.200000,sub12_k5_simple,sub20_k5_simple,0.080000,up,2.000000,0.050000,,0.500000,,,0.463582,,,0.228074,0,281,True,False,False
k5_simple,5,simple,0.150000,0.050000,sub15_k5_simple,sub05_k5_simple,0.100000,down,2.000000,0.050000,0.974234,,,0.061423,,,0.008106,,138,0,False,True,False
k5_simple,5,simple,0.150000,0.090000,sub15_k5_simple,sub09_k5_simple,0.060000,down,2.000000,0.050000,0.974234,,,0.061423,,,0.008106,,138,0,False,True,False
